base,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,,base-cu-opt,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill
PSNR,30.10290295,29.6053047,30.6005012,,,,,,,,,PSNR,30.10210895,29.5975647,30.6066532,,,,,,,
LPIPS,0.2628705,0.264989,0.260752,,,,,,,,,LPIPS,0.26308675,0.2659462,0.2602273,,,,,,,
final number of Gaussians,242382.5,302478,182287,,,,,,,,,final number of Gaussians,242193,301975,182411,,,,,,,
peak number of Gaussians,297754.5,385732,209777,,,,,,,,,peak number of Gaussians,297142.5,384908,209377,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LAG+prune,average,train,truck,,,,,,,,,full,average,train,truck,,,,,,,
time,141.9455969,141.7147851,142.1764088,,,,,,,,,time,129.7615798,130.7434666,128.7796929,,,,,,,
SSIM,0.8455147,0.8111148,0.8799146,,,,,,,,,SSIM,0.84468995,0.8093851,0.8799948,,,,,,,
PSNR,24.15545608,22.44717125,25.8637409,,,,,,,,,PSNR,24.1537533,22.4641304,25.8433762,,,,,,,
LPIPS,0.201376925,0.23430875,0.1684451,,,,,,,,,LPIPS,0.20158215,0.2355548,0.1676095,,,,,,,
final number of Gaussians,261268.75,249990.5,272547,,,,,,,,,final number of Gaussians,262246,249399,275093,,,,,,,
peak number of Gaussians,315465.75,306879.5,324052,,,,,,,,,peak number of Gaussians,315897,305663,326131,,,,,,,
